,function_name,solver_name,seed,experiment_id,max_steps
4,perindopril_mpo,genetic_algorithm,5,b7812702-8b5f-43d1-9943-97d0a839b511,309
0,perindopril_mpo,cma_es,1,9aabe55b-d1e3-4005-a8f1-3b2dd7d7fd65,309
1,perindopril_mpo,cma_es,2,bb7f41b4-604d-4585-88bf-a644e37cd6ac,309
2,perindopril_mpo,cma_es,3,0d091101-8d4d-4a5b-920d-a3930b063549,309
3,perindopril_mpo,cma_es,4,34358cc4-7838-4836-a53c-f3aae45f954a,309
4,perindopril_mpo,cma_es,5,0bd7a1aa-054f-4d8c-a750-4ef9b5a0c546,309
0,perindopril_mpo,random_line_bo,1,0289c5d0-3267-4603-a925-f9c87a996209,309
1,perindopril_mpo,random_line_bo,2,49f66b0b-2c35-4c56-8f24-e1f4b378b8c9,309
2,perindopril_mpo,random_line_bo,3,4dd5b15a-042c-404b-9ea7-bc34aada9b70,309
3,perindopril_mpo,random_line_bo,4,28f4b1f3-2004-43c8-95fa-c00760e84a4e,309
4,perindopril_mpo,random_line_bo,5,38a680a4-3b34-432d-a2ee-be6313df34e4,309
0,perindopril_mpo,coordinate_line_bo,1,0cd95063-3ab4-4d44-8b2c-f46822346c21,309
1,perindopril_mpo,coordinate_line_bo,2,0e9b3b98-e6fa-44e7-9772-8566e7d1a96b,309
2,perindopril_mpo,coordinate_line_bo,3,0d71533a-ea73-4f14-aa78-9fb685ec6963,309
3,perindopril_mpo,coordinate_line_bo,4,4308c25c-107c-4038-a853-6457a6d7b705,309
4,perindopril_mpo,coordinate_line_bo,5,6289a3ce-2f25-4df4-822d-4a0e5ded2f57,309
0,perindopril_mpo,turbo,1,9a87d6b1-9964-4eaa-8105-a26ead7cb52b,309
1,perindopril_mpo,turbo,2,39148d7b-4e1a-4a4e-ad36-2980cc06c675,309
2,perindopril_mpo,turbo,3,918e6e96-3a69-4f9e-8d45-d4cc8921e680,309
3,perindopril_mpo,turbo,4,4bf74e59-cad4-4a4d-9d21-b4ce45049af8,309
4,perindopril_mpo,turbo,5,77e175a3-6bbd-4b26-8a2b-15826230a6ae,309
0,perindopril_mpo,vanilla_bo_hvarfner,1,89243fa3-55f3-4b8f-adc0-9fdd4f8b3c60,12
1,perindopril_mpo,vanilla_bo_hvarfner,2,5fe23bab-59c0-4b99-8d04-5ca9c49a0934,12
2,perindopril_mpo,vanilla_bo_hvarfner,3,a1ff517f-2304-4814-baba-60ea20344814,12
3,perindopril_mpo,vanilla_bo_hvarfner,4,6b1780f3-4c57-402a-8ccc-b796549105c3,12
4,perindopril_mpo,vanilla_bo_hvarfner,5,4ce0a5e5-2778-4fe5-bc86-eb90fa635943,12
0,perindopril_mpo,pr,1,4f4519a6-5a49-4092-80e0-fbafe54d2f05,12
1,perindopril_mpo,pr,2,c6ce929a-a963-4ad1-a883-6cdeb3888fa5,12
2,perindopril_mpo,pr,3,45abf553-1cbf-4847-b0c5-41ffa2f93415,12
3,perindopril_mpo,pr,4,116a9d6e-9ef4-4c6e-92ad-e9f352f6e10b,12
4,perindopril_mpo,pr,5,1e4bfbb5-82e1-41b3-ab81-b23e074accc4,12
0,perindopril_mpo,saas_bo,1,369241f2-07fb-417a-a462-23a0533dbb7b,12
1,perindopril_mpo,saas_bo,2,26c677d4-70aa-47a4-8639-4a3a9bcba343,12
2,perindopril_mpo,saas_bo,3,73620ff2-c12d-4f6f-9e38-4e6ca9b69714,12
3,perindopril_mpo,saas_bo,4,2eef5f46-094a-42d9-b8b9-32a3872d3e8b,12
4,perindopril_mpo,saas_bo,5,33dbf8ff-c678-41c7-be76-c573b69693ac,12
